Nº,Razão Social,Nome Fantasia,CNPJ,CNAE Principal,Endereço,Cidade,Estado,País,Email,Telefone,Situação Cadastral
1023,Lopes Ltda,S.A. Neque,38.140.765/0001-08,6201-5/01 (Desenvolvimento de software),"Lago de Carvalho, 47",da Rosa de Cavalcanti,MS,Brasil,giovannanovaes@vieira.com,+55 (081) 7793-3808,Inativa
1024,Nascimento Moura - ME Ltda,e Filhos Perferendis,46.905.782/0001-09,4671-6/00 (Com. atac. insumos agrícolas),Residencial de Barros,Porto Paulista,RN,Brasil,kda-cruz@goncalves.br,(081) 0960-8657,Inativa
1025,Barbosa S.A. Ltda,e Filhos Delectus,49.673.512/0001-08,1091-1/02 (Fabricação de alimentos),Condomínio Olivia Silva,Rezende Verde,PE,Brasil,jesusfernando@da.com,21 7555 4509,Inativa
1026,Lopes Ltda. Ltda,Ltda. Cupiditate,62.375.014/0001-47,6201-5/01 (Desenvolvimento de software),"Setor Maria Julia Cunha, 92",Pires,MT,Brasil,murilomoraes@teixeira.br,31 3559 4009,Ativa
1027,da Mata - ME Ltda,- EI Quibusdam,84.092.357/0001-37,6619-3/02 (Serviços financeiros),"Rua Cecília Silveira, 972",Rezende,RO,Brasil,cavalcantikamilly@melo.com,(071) 4988 8592,Ativa
1028,Martins Ltda,S.A. Atque,74.861.923/0001-74,3511-5/00 (Geração de energia solar),Loteamento Mendes,Barros de Vieira,RJ,Brasil,kamillydas-neves@da.org,31 1958 8590,Ativa
1029,Cardoso Gomes Ltda. Ltda,- EI Laboriosam,41.365.289/0001-20,4930-2/01 (Transporte de cargas),"Setor Guilherme Ribeiro, 17",Souza,TO,Brasil,bpires@jesus.br,+55 (081) 2638 1186,Inativa
1030,Rezende Ltda,S.A. Architecto,30.619.457/0001-40,3511-5/00 (Geração de energia solar),"Feira de Dias, 21",Cavalcanti Grande,MT,Brasil,leticia18@da.br,84 9637 5203,Ativa
1031,Oliveira - EI Ltda,S/A Eveniet,42.038.961/0001-35,3511-5/00 (Geração de energia solar),"Loteamento Stephany Cardoso, 6",da Mata,RJ,Brasil,samuelmelo@da.org,+55 (041) 5154 3285,Inativa
1032,Rocha Ltda,Ltda. Rerum,05.932.168/0001-59,6619-3/02 (Serviços financeiros),"Parque Lívia Jesus, 62",Moraes,SE,Brasil,isadora38@rezende.br,0300-779-2601,Inativa
1033,Vieira S/A Ltda,- ME Illo,54.319.280/0001-24,2063-1/00 (Fabricação de cosméticos),"Parque Souza, 7",da Rocha de Goiás,CE,Brasil,ana-sophiada-conceicao@ramos.br,+55 61 4519-2029,Ativa
1034,Peixoto Ltda,e Filhos Eligendi,21.356.480/0001-06,4930-2/01 (Transporte de cargas),"Vale de Cardoso, 74",Pinto,PI,Brasil,oliveirathiago@aragao.com,+55 (081) 5554 9719,Inativa
1035,Oliveira Ltda,e Filhos Quos,07.963.485/0001-68,7020-4/00 (Consultoria empresarial),Quadra Araújo,Novaes de Santos,PA,Brasil,maria-sophiadas-neves@da.br,+55 84 0306 9090,Ativa
1036,Araújo Lopes S.A. Ltda,S.A. Eveniet,28.479.615/0001-61,8599-6/04 (Treinamento profissional),"Rodovia Paulo da Costa, 635",Monteiro de Ferreira,RJ,Brasil,juliada-luz@fernandes.br,0300 854 2956,Inativa
1037,Peixoto Novaes - EI Ltda,S/A Sunt,59.621.407/0001-89,4930-2/01 (Transporte de cargas),"Trevo de da Conceição, 81",Ferreira do Norte,PR,Brasil,kcampos@nunes.net,+55 61 4474 1286,Ativa
1038,Peixoto Ltda,- EI Explicabo,42.639.170/0001-60,8599-6/04 (Treinamento profissional),"Largo de Dias, 98",Teixeira de Sales,AC,Brasil,miguel42@barbosa.br,+55 11 6502 7623,Ativa
1039,da Luz - EI Ltda,Ltda. Officiis,43.609.712/0001-15,3511-5/00 (Geração de energia solar),Estrada Cunha,Ribeiro da Praia,SC,Brasil,yda-costa@cardoso.br,81 6055-3333,Ativa
1040,Barbosa Ltda,S/A Neque,52.871.906/0001-85,7020-4/00 (Consultoria empresarial),"Pátio Pedro Miguel Ferreira, 14",Nogueira da Serra,RN,Brasil,marcelocardoso@lima.com,(041) 7366 5008,Ativa
1041,Rezende Moreira Ltda. Ltda,- EI Repellat,96.407.123/0001-10,2063-1/00 (Fabricação de cosméticos),"Passarela Novaes, 88",Sales de Minas,PR,Brasil,lgoncalves@pereira.net,0900-318-4618,Ativa
1042,Almeida Ramos S/A Ltda,S.A. Sed,67.298.403/0001-30,1091-1/02 (Fabricação de alimentos),Travessa Yuri Azevedo,das Neves do Sul,ES,Brasil,gabrielafogaca@carvalho.net,+55 41 1064-6821,Inativa
1043,Barros Ltda,- ME Ad,37.054.962/0001-33,4671-6/00 (Com. atac. insumos agrícolas),Campo de Fernandes,Cunha do Amparo,SC,Brasil,ypires@silveira.com,+55 51 2283 6881,Ativa
1044,Ferreira - EI Ltda,Ltda. Id,34.908.167/0001-77,2063-1/00 (Fabricação de cosméticos),"Pátio Gustavo Ferreira, 5",Lopes,PI,Brasil,almeidaalice@cunha.com,0900-566-5270,Inativa
1045,Oliveira S.A. Ltda,Ltda. Repudiandae,18.259.406/0001-59,3511-5/00 (Geração de energia solar),Avenida Renan Gomes,Barros de Almeida,AC,Brasil,carvalhoana-luiza@araujo.com,+55 31 2043 1444,Inativa
1046,Farias Ltda,S/A Hic,89.412.305/0001-14,4930-2/01 (Transporte de cargas),Morro João Miguel da Conceição,Farias,PI,Brasil,biancagomes@da.com,+55 (084) 9713-9110,Inativa
1047,Cardoso Ltda,S.A. Vitae,51.670.492/0001-63,6201-5/01 (Desenvolvimento de software),"Rua Kevin Santos, 39",Aragão,PR,Brasil,ana-carolinamartins@lima.com,+55 51 1914 8089,Ativa
1048,Barbosa Ltda,- EI Natus,08.493.256/0001-90,6619-3/02 (Serviços financeiros),"Trecho Maitê Gomes, 9",Viana das Flores,SP,Brasil,martinsdavi-lucas@da.net,+55 (061) 1109-2351,Inativa
1049,Pinto - ME Ltda,S/A Praesentium,67.841.592/0001-45,8599-6/04 (Treinamento profissional),"Conjunto Monteiro, 65",Moura Verde,MS,Brasil,lavinia42@fernandes.br,(041) 8347 8073,Ativa
1050,Nunes Ltda,- ME Minima,26.508.197/0001-68,7020-4/00 (Consultoria empresarial),"Condomínio de da Mota, 91",Almeida,MT,Brasil,pintomilena@da.br,0900-526-0092,Ativa
1051,Carvalho e Filhos Ltda,S.A. Recusandae,92.480.167/0001-15,3511-5/00 (Geração de energia solar),"Recanto Teixeira, 67",Mendes de Souza,MS,Brasil,laura76@rodrigues.org,+55 21 3501 7049,Ativa
1052,da Costa Duarte - ME Ltda,- ME Aut,51.260.438/0001-40,7020-4/00 (Consultoria empresarial),"Praia Barbosa, 11",Viana do Campo,BA,Brasil,rochaisaac@cunha.org,+55 11 4575-6107,Inativa
1053,Ramos S/A Ltda,S/A At,14.567.320/0001-32,6619-3/02 (Serviços financeiros),"Residencial Mendes, 52",da Mota,AP,Brasil,cauealves@souza.com,31 4062-7412,Ativa
1054,Silveira Silveira S/A Ltda,- EI Sapiente,75.290.834/0001-88,7020-4/00 (Consultoria empresarial),"Viela Diogo Barros, 23",Monteiro,TO,Brasil,costajoao-vitor@carvalho.br,+55 61 0386 8018,Ativa
1055,Barbosa Ltda,S.A. Sit,35.647.891/0001-57,4930-2/01 (Transporte de cargas),"Rodovia de Gonçalves, 95",Duarte,MG,Brasil,rodriguesfelipe@barros.br,(051) 0051-0876,Ativa
1056,Rezende Ltda,e Filhos Odio,60.834.715/0001-71,8599-6/04 (Treinamento profissional),"Travessa Cauã Oliveira, 681",Moura Paulista,TO,Brasil,catarinasantos@da.com,+55 11 2068-8873,Ativa
1057,Moura Caldeira - ME Ltda,- EI Iste,80.741.365/0001-06,8020-0/01 (Monitoramento de segurança),"Travessa de Lopes, 95",Silva,DF,Brasil,joao-pedro10@nunes.net,11 6723-2579,Ativa
1058,Fernandes e Filhos Ltda,S.A. Tempore,74.283.609/0001-51,8599-6/04 (Treinamento profissional),Largo Lopes,Fogaça,PA,Brasil,wribeiro@moreira.com,(041) 8222 3830,Inativa
1059,da Cunha Ltda,S.A. Eum,40.178.952/0001-14,6201-5/01 (Desenvolvimento de software),"Área Kamilly Aragão, 19",Pires de Minas,CE,Brasil,hcosta@da.br,+55 31 9810-8150,Inativa
1060,Nogueira Ltda,S.A. Vero,52.367.198/0001-40,8599-6/04 (Treinamento profissional),Distrito Cardoso,Farias,PB,Brasil,emilly39@correia.br,0800 022 1380,Ativa
1061,Dias Ltda,S.A. Molestiae,08.239.467/0001-09,4930-2/01 (Transporte de cargas),"Aeroporto Maria Julia das Neves, 20",Pires,RJ,Brasil,brunanunes@cunha.com,51 5935 3472,Ativa
1062,Freitas - EI Ltda,Ltda. Adipisci,63.281.547/0001-22,4930-2/01 (Transporte de cargas),"Via de da Cunha, 80",Moreira do Galho,BA,Brasil,caiopeixoto@correia.net,0300-249-1893,Inativa
1063,Melo Ltda,- EI Ducimus,45.217.398/0001-50,8599-6/04 (Treinamento profissional),"Lagoa Jesus, 626",da Rocha,DF,Brasil,lucas-gabrielcarvalho@farias.com,+55 84 2168 0339,Inativa
1064,da Rosa Farias Ltda. Ltda,S/A Similique,69.018.374/0001-30,6619-3/02 (Serviços financeiros),"Campo de Peixoto, 1",Viana,DF,Brasil,agatha02@duarte.net,(081) 6865 3486,Inativa
1065,Martins Ltda,S.A. Consequatur,39.476.158/0001-78,4671-6/00 (Com. atac. insumos agrícolas),"Favela Carvalho, 94",Cavalcanti,MG,Brasil,heloisa15@nogueira.com,11 4151 6114,Ativa
1066,Ribeiro Ltda. Ltda,- EI Minus,43.201.795/0001-09,4671-6/00 (Com. atac. insumos agrícolas),"Morro de da Mata, 6",Ramos,PA,Brasil,gomessamuel@nogueira.com,+55 (081) 2871-7320,Ativa
1067,Teixeira Pereira Ltda. Ltda,S/A Non,93.268.047/0001-11,4671-6/00 (Com. atac. insumos agrícolas),"Chácara Augusto da Rosa, 86",Correia,MA,Brasil,vicente55@pires.br,+55 21 1232-4981,Ativa
1068,da Costa Ltda,e Filhos Consequuntur,26.174.305/0001-03,8599-6/04 (Treinamento profissional),"Sítio Olivia Nascimento, 80",Rocha de Minas,RR,Brasil,mpires@nogueira.br,(011) 3837-4529,Inativa
1069,Nunes Ltda,Ltda. Et,85.416.703/0001-58,2063-1/00 (Fabricação de cosméticos),Esplanada de Cunha,Pires Grande,CE,Brasil,nogueiranicole@lima.com,+55 (071) 6172 2185,Inativa
1070,Ferreira da Mota e Filhos Ltda,S/A Adipisci,34.179.650/0001-68,4930-2/01 (Transporte de cargas),"Largo Barros, 8",Costa do Galho,RO,Brasil,wgomes@cardoso.br,84 4715 3851,Inativa
1071,Nogueira Ltda. Ltda,- ME Hic,81.067.594/0001-50,4930-2/01 (Transporte de cargas),Recanto Gabrielly da Rosa,Rocha,DF,Brasil,joao52@caldeira.br,0900-313-9564,Inativa
1072,Sales Gomes S.A. Ltda,S/A Mollitia,71.036.298/0001-38,4671-6/00 (Com. atac. insumos agrícolas),"Esplanada Fogaça, 111",Costela do Sul,MA,Brasil,jmendes@da.br,+55 61 2742 2204,Ativa
1073,Rodrigues Ltda,- ME Deserunt,20.536.984/0001-37,8020-0/01 (Monitoramento de segurança),"Parque Souza, 4",Carvalho de Moraes,SE,Brasil,correiaalana@santos.br,+55 (051) 9880 0605,Ativa
1074,Jesus Nascimento - ME Ltda,- EI Quaerat,41.967.203/0001-39,8599-6/04 (Treinamento profissional),Trecho de Cunha,Cunha Verde,ES,Brasil,isabella26@dias.br,+55 (031) 2312-3509,Ativa
1075,da Conceição Ltda,Ltda. Delectus,89.352.164/0001-91,6201-5/01 (Desenvolvimento de software),"Praça Bárbara Araújo, 22",Pereira,MT,Brasil,da-motaluiz-felipe@fogaca.com,(051) 1571 1887,Ativa
1076,Ribeiro Ltda,S/A Dolores,92.761.534/0001-59,2063-1/00 (Fabricação de cosméticos),Jardim de Castro,Vieira da Mata,DF,Brasil,renanda-paz@fogaca.br,31 3442 0731,Ativa
1077,Costela Ltda,- EI Repellat,32.975.641/0001-58,2063-1/00 (Fabricação de cosméticos),"Largo de Rocha, 10",Gonçalves,PR,Brasil,yuri10@cavalcanti.com,(084) 0580 3159,Ativa
1078,da Cruz Ltda,- ME Libero,64.352.891/0001-28,8020-0/01 (Monitoramento de segurança),Vale Pinto,Mendes do Campo,ES,Brasil,iaraujo@moraes.org,+55 84 8752-4431,Inativa
1079,Farias Ltda,S/A Eius,58.079.362/0001-08,6201-5/01 (Desenvolvimento de software),Vereda Barbosa,Silveira de Minas,ES,Brasil,fernandesbarbara@da.br,(011) 7790-1084,Ativa
1080,Azevedo Ltda,- EI Nam,89.147.532/0001-60,1091-1/02 (Fabricação de alimentos),"Setor Bruno Silva, 11",Azevedo,BA,Brasil,imelo@castro.org,+55 (061) 4453 9561,Inativa
1081,da Mota Ltda,S/A Vero,51.840.972/0001-25,1091-1/02 (Fabricação de alimentos),"Viela de Araújo, 769",da Conceição,DF,Brasil,meloluna@pinto.org,+55 84 5341 3732,Inativa
1082,Caldeira Teixeira S.A. Ltda,Ltda. Veniam,58.069.734/0001-07,6619-3/02 (Serviços financeiros),"Estação Aragão, 12",Cardoso dos Dourados,AM,Brasil,nogueirasofia@barros.com,+55 (084) 2566-4272,Inativa
1083,Barbosa Ltda. Ltda,S/A Veritatis,14.250.967/0001-36,7020-4/00 (Consultoria empresarial),"Estrada Marina da Mota, 70",Barros,PI,Brasil,carlos-eduardo22@da.com,61 8346-7123,Ativa
1084,Silva e Filhos Ltda,Ltda. Quis,65.382.794/0001-40,2063-1/00 (Fabricação de cosméticos),"Estrada de Dias, 699",Novaes de das Neves,ES,Brasil,rezendemaria-alice@das.br,21 0597-0105,Ativa
1085,da Rocha S/A Ltda,e Filhos Fuga,47.105.386/0001-60,8020-0/01 (Monitoramento de segurança),"Distrito Alana Ribeiro, 4",Aragão de Nascimento,GO,Brasil,almeidamariana@cardoso.org,21 1403 8299,Inativa
1086,Silva Ltda,- EI Exercitationem,63.109.785/0001-55,1091-1/02 (Fabricação de alimentos),"Rua de Viana, 66",da Rocha do Sul,PR,Brasil,andreda-cruz@goncalves.com,0800-590-8959,Inativa
1087,Carvalho - EI Ltda,- EI Accusantium,45.821.067/0001-25,3511-5/00 (Geração de energia solar),"Parque de Gonçalves, 9",Ferreira da Mata,DF,Brasil,ggomes@nunes.com,31 9656 2408,Inativa
1088,Mendes Ltda,S/A Iure,35.178.902/0001-05,7020-4/00 (Consultoria empresarial),"Rua da Costa, 57",Rezende de da Mata,RR,Brasil,cavalcanticaio@dias.br,+55 21 0411 5858,Inativa
1089,Nogueira S/A Ltda,e Filhos Sed,51.372.680/0001-05,3511-5/00 (Geração de energia solar),"Viaduto Nogueira, 39",Viana das Flores,RJ,Brasil,yda-rosa@costela.com,61 0383 3513,Inativa
1090,da Mota Ltda,- ME Deserunt,61.745.930/0001-69,1091-1/02 (Fabricação de alimentos),"Morro Larissa Teixeira, 513",Ribeiro,RO,Brasil,isabellymendes@da.br,+55 84 8857 2512,Inativa
1091,Duarte Carvalho S.A. Ltda,- EI Magnam,59.628.130/0001-16,4930-2/01 (Transporte de cargas),"Vale Noah Souza, 70",Azevedo,RR,Brasil,lpeixoto@almeida.br,61 1250-5674,Inativa
1092,Moura Ltda. Ltda,S.A. Debitis,81.493.507/0001-26,6619-3/02 (Serviços financeiros),"Loteamento de Martins, 77",Martins do Amparo,TO,Brasil,pduarte@cardoso.com,+55 31 4904-1386,Inativa
1093,Pires Ltda,S.A. Repellendus,53.720.846/0001-62,8020-0/01 (Monitoramento de segurança),Jardim Araújo,Monteiro da Serra,PR,Brasil,bruna95@rodrigues.com,+55 (011) 4398 3633,Ativa
1094,Martins Ltda,- ME Distinctio,59.042.681/0001-01,8599-6/04 (Treinamento profissional),"Favela Ramos, 39",Pinto,MT,Brasil,da-cruzhenrique@ramos.net,31 6311-8061,Inativa
1095,Souza Gonçalves - EI Ltda,- EI Laborum,14.806.397/0001-18,8599-6/04 (Treinamento profissional),"Loteamento Sofia da Rocha, 56",da Costa Alegre,RJ,Brasil,eduardosilveira@jesus.com,+55 41 9952-1358,Inativa
1096,Barros S/A Ltda,S/A Beatae,31.620.498/0001-19,6619-3/02 (Serviços financeiros),"Feira Danilo Pinto, 37",Pinto,AC,Brasil,pereiraisaac@da.net,+55 (021) 3615 6018,Ativa
1097,Silveira Ltda,- ME Ab,57.320.649/0001-07,6619-3/02 (Serviços financeiros),Estação Campos,Teixeira Verde,PA,Brasil,lazevedo@peixoto.br,(061) 3742 4506,Ativa
1098,da Cunha Ltda,- EI Explicabo,86.290.715/0001-41,8020-0/01 (Monitoramento de segurança),"Loteamento Ana Clara da Rocha, 42",Silveira de Farias,AL,Brasil,das-nevesbryan@nogueira.br,21 2871 6520,Inativa
1099,Silva Ltda,S/A Quos,54.197.638/0001-93,1091-1/02 (Fabricação de alimentos),Favela de da Mota,Peixoto,MA,Brasil,rbarros@rezende.com,+55 (061) 7569 8319,Inativa
1100,Lopes Ltda,- ME Architecto,28.309.654/0001-10,4930-2/01 (Transporte de cargas),"Viela da Conceição, 92",Castro de da Cruz,CE,Brasil,ndas-neves@castro.com,+55 (061) 3597-1579,Inativa
1101,das Neves Almeida - EI Ltda,e Filhos Libero,36.572.041/0001-08,2063-1/00 (Fabricação de cosméticos),Trecho Larissa Ribeiro,Gonçalves,AM,Brasil,emillyfogaca@rocha.br,0900-267-7663,Ativa
1102,Nogueira Ltda,e Filhos Doloribus,74.983.201/0001-92,8599-6/04 (Treinamento profissional),"Trevo Santos, 178",Farias dos Dourados,AM,Brasil,dcampos@oliveira.com,(071) 0070 9314,Inativa
1103,Ferreira - EI Ltda,e Filhos Voluptatibus,49.760.523/0001-25,2063-1/00 (Fabricação de cosméticos),"Lagoa de Moura, 384",Araújo do Sul,TO,Brasil,xcardoso@lima.br,81 6960-9647,Ativa
1104,das Neves Ltda,- ME Dolorem,10.627.589/0001-06,6201-5/01 (Desenvolvimento de software),"Viela Lopes, 71",Alves do Sul,AC,Brasil,ian28@ferreira.org,(061) 4616-5822,Ativa
1105,Nogueira - ME Ltda,S/A Quod,54.982.637/0001-50,8020-0/01 (Monitoramento de segurança),"Residencial de Almeida, 2",Farias,PB,Brasil,tbarros@alves.com,0800-160-5760,Ativa
1106,Farias S.A. Ltda,Ltda. Consectetur,45.728.961/0001-55,3511-5/00 (Geração de energia solar),"Parque de Ferreira, 4",da Rocha Alegre,PE,Brasil,fernandesclara@lopes.com,+55 (021) 2373-3734,Ativa
1107,da Cunha Ltda,- EI Atque,52.871.390/0001-79,8599-6/04 (Treinamento profissional),Vereda de Nunes,Ramos do Galho,BA,Brasil,costaenzo-gabriel@martins.br,71 4857-3903,Ativa
1108,da Mata Ltda,Ltda. At,27.195.683/0001-36,8020-0/01 (Monitoramento de segurança),"Jardim Davi Luiz da Luz, 60",Santos de Alves,RO,Brasil,ybarros@freitas.com,+55 (081) 3780 6971,Ativa
1109,Pires Ltda,- ME Incidunt,75.439.601/0001-02,1091-1/02 (Fabricação de alimentos),"Pátio Maria Julia Moreira, 55",Ribeiro,TO,Brasil,ovieira@ferreira.br,41 5996-5929,Inativa
1110,Ramos S/A Ltda,S.A. Nesciunt,81.560.927/0001-88,6201-5/01 (Desenvolvimento de software),"Área de Fogaça, 27",Rezende,GO,Brasil,santoscaio@mendes.com,0800-748-2826,Ativa
1111,Costa Ltda,- EI Doloremque,98.475.261/0001-62,6201-5/01 (Desenvolvimento de software),"Estação de da Mata, 38",Moura,MS,Brasil,bbarros@da.br,0300 839 9758,Ativa
1112,Sales Ltda,Ltda. Officiis,35.684.197/0001-00,3511-5/00 (Geração de energia solar),"Fazenda Fernanda Barros, 71",Souza de Minas,AC,Brasil,ana-luiza04@gomes.com,71 8450 1029,Ativa
1113,Pires Ltda,- ME Placeat,17.532.460/0001-63,4930-2/01 (Transporte de cargas),"Viela de Mendes, 373",Rocha do Galho,CE,Brasil,salescarlos-eduardo@pinto.br,61 4262 8209,Inativa
1114,Lopes Ltda,S/A Facilis,04.256.783/0001-20,1091-1/02 (Fabricação de alimentos),"Largo Cauê Duarte, 3",Porto,GO,Brasil,vitor-hugo97@da.net,71 1745 8235,Inativa
1115,Moraes Ltda,Ltda. Enim,29.687.504/0001-03,4671-6/00 (Com. atac. insumos agrícolas),Lagoa de Moraes,Fogaça de Goiás,PB,Brasil,souzalorena@pereira.br,(051) 0055-2737,Inativa
1116,Monteiro e Filhos Ltda,- ME Rem,56.831.492/0001-11,4671-6/00 (Com. atac. insumos agrícolas),"Colônia de Souza, 398",Moura,RS,Brasil,fernandasantos@da.br,+55 (031) 7926-1182,Ativa
1117,Ramos Ltda,Ltda. Animi,16.530.872/0001-00,7020-4/00 (Consultoria empresarial),"Quadra de Rocha, 22",Lima,AM,Brasil,limamaysa@martins.com,+55 (061) 3339 6688,Ativa
1118,Oliveira S.A. Ltda,- EI Nulla,14.653.907/0001-64,8020-0/01 (Monitoramento de segurança),Setor da Cunha,Azevedo,SE,Brasil,silveiraemanuella@azevedo.br,+55 (031) 7846-3363,Inativa
1119,Campos - ME Ltda,Ltda. Velit,98.462.317/0001-44,1091-1/02 (Fabricação de alimentos),"Feira de da Conceição, 84",da Cunha do Sul,SP,Brasil,das-nevesguilherme@aragao.br,0800 937 9293,Ativa
1120,Melo Ltda,- ME Eius,02.719.645/0001-04,4930-2/01 (Transporte de cargas),"Parque de Santos, 17",Nascimento,PR,Brasil,martinsleonardo@da.br,+55 11 5953 0617,Ativa
1121,Sales - EI Ltda,e Filhos Aliquam,41.392.860/0001-03,1091-1/02 (Fabricação de alimentos),"Área João Lucas Moreira, 87",Dias,AL,Brasil,csilveira@mendes.com,21 6173-3568,Ativa
1122,Melo Ltda,- EI Totam,46.802.931/0001-04,7020-4/00 (Consultoria empresarial),"Vila Mendes, 646",Alves do Campo,RJ,Brasil,fernandacavalcanti@campos.org,21 4253-1539,Inativa
1123,Fernandes e Filhos Ltda,- EI Mollitia,63.017.542/0001-97,7020-4/00 (Consultoria empresarial),"Travessa Novaes, 45",Souza,MG,Brasil,nathan30@rocha.com,84 0684 6013,Inativa
1124,das Neves Ltda,- ME Repellat,09.648.125/0001-05,8020-0/01 (Monitoramento de segurança),"Favela Alícia Santos, 88",Ferreira,ES,Brasil,emanuelcampos@nascimento.com,(021) 0758-5026,Ativa
1125,Souza e Filhos Ltda,e Filhos Quae,80.732.196/0001-48,6201-5/01 (Desenvolvimento de software),Travessa Moraes,Pires,AP,Brasil,smoraes@moraes.org,41 5800 7324,Ativa
1126,da Mata Ltda,e Filhos Nemo,70.148.523/0001-65,4930-2/01 (Transporte de cargas),"Lagoa de das Neves, 32",da Rosa de Minas,PI,Brasil,gdas-neves@melo.br,51 0994 4786,Ativa
1127,Fogaça Costa S.A. Ltda,S/A Neque,18.652.390/0001-40,7020-4/00 (Consultoria empresarial),"Sítio Miguel Rodrigues, 21",Viana,PR,Brasil,ana-beatriz83@da.com,0300 941 3984,Ativa
1128,Castro Ltda,S.A. Voluptas,18.739.456/0001-33,4930-2/01 (Transporte de cargas),"Favela de da Cruz, 45",Azevedo de Minas,DF,Brasil,da-mataleonardo@duarte.org,+55 61 6037 2049,Inativa
1129,Gomes Ltda,S.A. Soluta,49.206.578/0001-98,1091-1/02 (Fabricação de alimentos),"Área da Mota, 959",Fernandes,RS,Brasil,paulo12@santos.org,(011) 6100 0447,Ativa
1130,Barros Ltda,S.A. Nesciunt,20.739.468/0001-00,6201-5/01 (Desenvolvimento de software),"Pátio Gonçalves, 73",Azevedo de Porto,AC,Brasil,davi-lucca36@da.net,(041) 3735 5887,Inativa
1131,Pereira Ltda,S.A. At,38.429.061/0001-41,7020-4/00 (Consultoria empresarial),"Viela Natália Oliveira, 58",Ramos dos Dourados,DF,Brasil,lucas-gabrielribeiro@ramos.br,+55 11 3981-0488,Inativa
1132,Carvalho S/A Ltda,- EI Totam,48.576.120/0001-68,3511-5/00 (Geração de energia solar),"Lagoa de Barros, 43",Duarte,PR,Brasil,lucas-gabriel65@dias.br,61 1030 7650,Inativa
1133,Carvalho Aragão - EI Ltda,- ME Voluptatem,71.859.043/0001-75,2063-1/00 (Fabricação de cosméticos),"Fazenda de da Cunha, 2",Azevedo,SP,Brasil,joanamelo@fogaca.br,81 5821 0380,Inativa
1134,da Rosa Ltda,Ltda. Repudiandae,75.069.834/0001-52,3511-5/00 (Geração de energia solar),"Fazenda Emanuel Gomes, 6",Costela Verde,GO,Brasil,manuelacardoso@da.br,+55 (031) 2317 6352,Ativa
1135,Moura Ltda,e Filhos Vel,53.621.970/0001-70,2063-1/00 (Fabricação de cosméticos),"Viela Davi Lucca Costa, 981",da Cruz,PI,Brasil,mariacarvalho@nunes.br,61 5376-0044,Ativa
1136,Azevedo Ltda. Ltda,S.A. Eaque,96.724.183/0001-67,4671-6/00 (Com. atac. insumos agrícolas),"Feira de Silveira, 81",Santos Paulista,RJ,Brasil,maria-julia81@almeida.org,51 6789 3896,Inativa
1137,Melo Ltda,- ME Suscipit,16.209.735/0001-60,6619-3/02 (Serviços financeiros),"Sítio de Cardoso, 76",Ferreira,PR,Brasil,ana-carolinanogueira@caldeira.br,(011) 3103-4939,Inativa
1138,Silva Viana - ME Ltda,e Filhos Ducimus,74.603.528/0001-91,8020-0/01 (Monitoramento de segurança),"Aeroporto de da Paz, 62",Monteiro,SE,Brasil,hmonteiro@sales.org,(061) 9374-0823,Inativa
1139,Campos Ltda,e Filhos Ad,25.017.386/0001-75,4930-2/01 (Transporte de cargas),Jardim Souza,Monteiro da Mata,TO,Brasil,sarah34@fernandes.org,41 2587 1350,Ativa
1140,Alves Costa S/A Ltda,e Filhos Tempore,68.132.795/0001-25,8020-0/01 (Monitoramento de segurança),"Esplanada de Lima, 792",Correia de Ramos,DF,Brasil,maria-fernandagoncalves@lopes.org,+55 61 4740-0167,Inativa
1141,Lima - ME Ltda,Ltda. Recusandae,98.340.156/0001-16,7020-4/00 (Consultoria empresarial),"Feira João Felipe da Mata, 123",Viana,SP,Brasil,nogueirajoao-miguel@martins.com,+55 81 2910 1026,Ativa
1142,da Conceição Ltda,S/A Labore,30.968.721/0001-50,8020-0/01 (Monitoramento de segurança),"Conjunto de Martins, 39",da Paz do Amparo,RR,Brasil,fferreira@melo.com,+55 (081) 4339 7126,Ativa
1143,Ramos Ltda. Ltda,- ME Temporibus,60.413.275/0001-89,7020-4/00 (Consultoria empresarial),"Avenida de Nogueira, 86",Jesus da Mata,PI,Brasil,lucas-gabriel49@almeida.org,+55 (061) 0287 0123,Inativa
1144,Souza Ltda,S/A Iure,40.795.312/0001-53,3511-5/00 (Geração de energia solar),"Vila de Novaes, 353",Farias,TO,Brasil,azevedogabrielly@barros.com,(084) 0988 4617,Ativa
1145,Mendes Ltda,Ltda. Saepe,94.157.836/0001-48,4930-2/01 (Transporte de cargas),Rua Fernando da Mota,da Rocha,DF,Brasil,ofarias@mendes.com,+55 61 0378 6541,Inativa
1146,da Conceição e Filhos Ltda,- EI Atque,78.059.431/0001-10,3511-5/00 (Geração de energia solar),"Favela Igor Azevedo, 49",Rocha da Serra,RJ,Brasil,juliacosta@araujo.br,+55 (031) 9385 2559,Ativa
1147,da Rocha Porto - EI Ltda,e Filhos Voluptate,83.529.746/0001-14,1091-1/02 (Fabricação de alimentos),"Área de Vieira, 69",Jesus do Amparo,RO,Brasil,heloisa05@da.br,+55 (041) 5008 2390,Ativa
1148,das Neves Ltda,e Filhos Atque,32.450.697/0001-99,6201-5/01 (Desenvolvimento de software),"Via Moura, 87",Rezende,AM,Brasil,nascimentobruno@peixoto.br,(021) 6037-6697,Ativa
